name,id,folderId
EMT_EMK_XXXX_All_All_All_All_All_All_NOAPP1_NoWkps_WebsiteVisitTrigger,4527,10576
MPL_1710_All_All_All_All_All_PI/PRO/IND_Welcome1,4556,12165
MPL_1710_All_All_All_All_All_LAB_Welcome1,4558,12165
GDE/MPL_XXXX_All_CHE/PAB_All_IND_All_IND_App1,4571,17518
GDE/MPL_XXXX_All_FAB_All_IND_All_IND_App1,4577,17518
CLT_XXXX_All_EME_All_IND_All_IND_App1,4578,17518
LIB_XXXX_All_MPE_All_IND_All_IND_App1,4579,17518
WPP_XXXX_All_VEH_All_IND_All_IND_App1,4580,17518
GDE/MPL_XXXX_All_GEN_All_IND_All_IND_App1,4581,17518
eNewsletters - USA Adapted Concept,4595,5560
eNewsletters - CA(EN) Adapted Concept,4601,5560
eNewsletters - ROW Adapted Concept,4612,5560
eNewsletters - AP Adapted Concept,4613,5560
eNewsletters - AU/NZ Adapted Concept,4614,5560
eNewsletters - FR Adapted Concept,4616,5560
eNewsletters - CA(FR) Adapted Concept,4617,5560
eNewsletters - IT Adapted Concept,4618,5560
eNewsletters - ES (EU) Adapted Concept,4619,5560
eNewsletters - ES (Latin America) Adapted Concept,4620,5560
eNewsletters - PT (EU) Adapted Concept,4621,5560
eNewsletters - PT (BR) Adapted Concept,4622,5560
eNewsletters - NL Adapted Concept,4623,5560
eNewsletters - TR Adapted Concept,4624,5560
eNewsletters - RU Adapted Concept,4625,5560
eNewsletters - PL Adapted Concept,4626,5560
eNewsletters - CN Simplified Adapted Concept,4627,5560
eNewsletters - CN Traditional Adapted Concept,4628,5560
eNewsletters - JP Adapted Concept,4629,5560
eNewsletters - KR Adapted Concept,4630,5560
eNewsletters - TH Adapted Concept,4631,5560
eNewsletters - USA Adapted Concept B,4632,5560
eNewsletters - CA(EN) Adapted Concept B,4633,5560
eNewsletters - ROW Adapted Concept B,4634,5560
eNewsletters - AP Adapted Concept B,4635,5560
eNewsletters - AU/NZ Adapted Concept B,4636,5560
BRO_1710_All_PWG_All_PRO_All_PRO_Welcome1,4655,18237
MPL_1710_All_PWG_All_PRO_All_PRO_Welcome2,4657,18237
TopKA_welcome_CHE,4659,18252
TopKA_welcome_Split,4660,18252
TopKA_welcome_FAB,4661,18252
"TopKA_welcome_Procurement, Finance and Admin",4663,18252
TopKA_welcome_IT,4670,18252
TopKA_welcome_EME,4671,18252
TopKA_welcome_MPE,4672,18252
TopKA_welcome_PAB,4673,18252
