name,id,folderId,status
BRO_1710_CN_PWG_All_PRO_All_PRO_Welcome1,31586,18011,2
BRO_1710_JP_PWG_All_PRO_All_PRO_Welcome1,31587,18011,2
BRO_1710_KR_PWG_All_PRO_All_PRO_Welcome1,31588,18011,2
BRO_1710_VN_PWG_All_PRO_All_PRO_Welcome1,31589,18011,2
WPP_1803_US_PPT_All_PRO_All_PRO_PulpPapwerWT2,35149,18661,1
GDE/MPL_1708_CA(FR)_RAW_All_All_All_Welcome1,35150,17724,1
GDE/MPL_1708_CA(FR)_RAW_LAB_All_LAB_Welcome2 NEW,35151,17725,1
GDE/MPL_1708_CA(FR)_RAW_PRO/IND/TLA_All_All_Welcome2 NEW,35152,17726,1
ART_1711_CA(FR)_PAB_All_PRO/PI/IND_All_All_Welcome2,35154,17996,2
ART_1711_CA(FR)_PAB_All_LAB_All_All_Welcome2,35155,17997,1
GDE_1803_US_PPT_All_LAB_All_LAB_PulpPapwerWT2LAB,35156,18662,1
GDE/MPL_1708_IN_RAW_LAB_All_LAB_Welcome2 NEW,35157,17725,1
GDE/MPL_1708_IN_RAW_PRO/IND/TLA_All_All_Welcome2 NEW,35158,17726,1
GDE_1803_US_FAB_LAB_All_All_LAB_FoodWT1LAB,35159,18678,1
GDE/MPL_1708_IN_RAW_All_All_All_Welcome1,35160,17724,1
GDE_1803_AP_PPT_All_LAB_All_LAB_PulpPapwerWT2LAB,35166,18662,2
GDE_1803_CA(EN)_PPT_All_LAB_All_LAB_PulpPapwerWT2LAB,35167,18662,2
GDE_1803_AU/NZ_PPT_All_LAB_All_LAB_PulpPapwerWT2LAB,35168,18662,2
GDE_1803_ROW_PPT_All_LAB_All_LAB_PulpPapwerWT2LAB,35169,18662,2
GDE_1803_PT_PPT_All_LAB_All_LAB_PulpPapwerWT2LAB,35170,18662,2
GDE_1803_NL_PPT_All_LAB_All_LAB_PulpPapwerWT2LAB,35172,18662,2
GDE_1803_ES_PPT_All_LAB_All_LAB_PulpPapwerWT2LAB,35173,18662,2
GDE_1803_JP_PPT_All_LAB_All_LAB_PulpPapwerWT2LAB,35174,18662,2
GDE_1803_DE_PPT_All_LAB_All_LAB_PulpPapwerWT2LAB,35175,18662,2
GDE_1803_KR_PPT_All_LAB_All_LAB_PulpPapwerWT2LAB,35183,18662,2
GDE_1803_RU_PPT_All_LAB_All_LAB_PulpPapwerWT2LAB,35185,18662,2
GDE_1803_IT_PPT_All_LAB_All_LAB_PulpPapwerWT2LAB,35189,18662,2
GDE_1803_PL_PPT_All_LAB_All_LAB_PulpPapwerWT2LAB,35190,18662,2
GDE_1803_TR_PPT_All_LAB_All_LAB_PulpPapwerWT2LAB,35191,18662,2
GDE_1803_CN_PPT_All_LAB_All_LAB_PulpPapwerWT2LAB,35192,18662,2
GDE_1803_FR_PPT_All_LAB_All_LAB_PulpPapwerWT2LAB,35193,18662,2
GDE_1803_CA(FR)_PPT_All_LAB_All_LAB_PulpPapwerWT2LAB,35194,18662,2
WPP_1803_AP_PPT_All_PRO_All_PRO_PulpPapwerWT2,35195,18661,2
WPP_1803_CA(EN)_PPT_All_PRO_All_PRO_PulpPapwerWT2,35196,18661,2
WPP_1803_AU/NZ_PPT_All_PRO_All_PRO_PulpPapwerWT2,35197,18661,2
WPP_1803_ROW_PPT_All_PRO_All_PRO_PulpPapwerWT2,35198,18661,2
WPP_1803_FR_PPT_All_PRO_All_PRO_PulpPapwerWT2,35199,18661,2
WPP_1803_CA(FR)_PPT_All_PRO_All_PRO_PulpPapwerWT2,35200,18661,2
WPP_1803_DE_PPT_All_PRO_All_PRO_PulpPapwerWT2,35201,18661,2
